city,prada_count,prada_percent
New York City,278,15.715093273035613
Georgia,250,14.132278123233466
New York,172,9.723007348784623
Florida,139,7.857546636517807
Miami,117,6.613906161673262
Chicago,115,6.5008479366873955
Washington DC,105,5.9355568117580555
Texas,85,4.804974561899378
Tokyo,81,4.5788581119276435
Houston,62,3.5048049745619
Brooklyn,59,3.335217637083098
Queens,58,3.278688524590164
Atlanta,34,1.9219898247597516
Tennessee,30,1.6958733747880161
Bronx,25,1.4132278123233466
Connecticut,24,1.356698699830413
Tampa,23,1.300169587337479
Caracas,22,1.243640474844545
DMV,20,1.1305822498586773
Nashville,19,1.0740531373657434
