interests,prada_count,prada_percent
Fashion,8868,38.08460382220313
BTS Enthusiast,1865,8.009448142581057
Beauty,1852,7.953618209147518
NFT Enthusiast,1419,6.094051964784194
United States Army,784,3.3669744470689276
Cryptocurrency,696,2.9890487438264968
Photographer,667,2.86450504616706
Blogger,508,2.1816620141722134
Entertainment,502,2.1558943525875023
Nature Lover,472,2.0270560446639463
Photography,432,1.8552716340992055
Health,391,1.6791926132703452
Technology,373,1.6018896285162116
Fan Account,323,1.3871591153102854
Adult Content,309,1.327034571612626
Black Lives Matter,297,1.2754992484432033
Investor,294,1.262615417650848
Video Games,273,1.1724286021043588
Finance,269,1.1552501610478845
Analyst,263,1.1294824994631736
