nationality,prada_count,prada_percent
Italy,2346,10.308915937953156
United Kingdom,1528,6.714417541855254
Colombia,1187,5.2159775014281315
Mexico,1174,5.158852221294547
France,1162,5.106121193478929
Brazil,868,3.814211011996308
China,826,3.6296524146416487
Germany,685,3.0100628378081464
Philippines,681,2.992485828536274
India,668,2.9353605484026892
Japan,666,2.926572043766753
Canada,579,2.5442720921035282
Spain,573,2.5179065781957193
South Africa,469,2.0609043371270377
Nigeria,441,1.937865272223931
Ukraine,382,1.6786043854638135
Venezuela,377,1.6566331238739727
Algeria,352,1.5467768159247703
Morocco,313,1.3754009755240144
Pakistan,305,1.3402469569802697
