User,Category Level 1,Category Level 2,Entity
Drake,Music,Rapper,Person
elonmusk,Technology,Tech Entrepreneur,Person
KingJames,Sports,Basketball Player,Person
iamcardib,Music,Rapper,Person
NICKIMINAJ,Music,Rapper,Person
rihanna,Music,Pop Artist,Person
JColeNC,Music,Rapper,Person
Twitter,Technology,Tech Company,Company
BarackObama,Politics,Politician,Person
verified,Technology,Tech Company,Company
LilNasX,Music,Rapper,Person
jackharlow,Music,Rapper,Person
theweeknd,Music,Pop Artist,Person
theestallion,Music,Rapper,Person
Eminem,Music,Rapper,Person
SnoopDogg,Music,Rapper,Person
MileyCyrus,Music,Pop Artist,Person
POTUS,Politics,Politician,Person
lilbaby4PF,Music,Rapper,Person
LilTunechi,Music,Rapper,Person
kanyewest,Music,Rapper,Person
NBA,Sports,Sports League,Organization
justinbieber,Music,Pop Artist,Person
MrBeast,Video Games,Streamer,Person
sza,Musics,Pop Artist,Person
StephenCurry30,Sports,Basketball Player,Person
britneyspears,Music,Pop Artist,Person
AOC,Politics,Politician,Person
ChloeBailey,Music,Pop Artist,Person
kendricklamar,Music,Rapper,Person
SHAQ,Sports,Basketball Player,Person
jack,Technology,Tech Entrepreneur,Person
Cristiano,Sports,Soccer Player,Person
espn,Sports,Sports Network,Company
lizzo,Music,Pop Artist,Person
garyvee,Technology,Tech Entrepreneur,Person
KDTrey5,Sports,Basketball Player,Person
wizkhalifa,Music,Rapper,Person
MissyElliott,Music,Rapper,Person
KiDCuDi,Music,Rapper,Person
aliciakeys,Music,Pop Artist,Person
netflix,Technology,Tech Company,Company
joerogan,Media,Podcaster,Person
YouTube,Technology,Tech Company,Company
serenawilliams,Sports,Tennis Player,Person
DojaCat,Music,Pop Artist,Person
ZO2_,,,
JoeBiden,Politics,Politician,Person
IAmSteveHarvey,Media,Comedian,Person
BleacherReport,Sports,,
taylorswift13,Musics,,
mcuban,Technology,,
Lakers,Sports,,
Meta,Technology,,
HalleBailey,,,
JLo,,,
1future,,,
Forbes,,,
coi_leray,,,
MeekMill,,,
KimKardashian,,,
TwitterSpaces,,,
lildurk,,,
IssaRae,,,
KamalaHarris,,,
SportsCenter,,,
Dame_Lillard,,,
JanetJackson,,,
Pink,,,
thegame,,,
Giannis_An34,,,
Beyonce,,,
Spotify,,,
Pharrell,,,
RoddyRicch,,,
WorldWideWob,,,
FabrizioRomano,,,
luka7doncic,,,
1GunnaGunna,,,
gucci1017,,,
JohnCena,,,
itsgabrielleu,,,
jimmyfallon,,,
wojespn,,,
TreySongz,,,
russwest44,,,
tylerthecreator,,,
Money23Green,,,
GretaThunberg,,,
RexChapman,,,
KSI,,,
maryjblige,,,
JesseLingard,,,
Complex,,,
Twitch,,,
asvpxrocky,,,
ladygaga,,,
voguemagazine,,,
opensea,,,
TheEllenShow,,,
RecordingAcad,,,
dionnewarwick,,,
FivioForeign,,,
souljaboy,,,
DCLBlogger,,,
carmeloanthony,,,
DrDisrespect,,,
diplo,,,
Ninja,,,
ChrisBHaynes,,,
YG,,,
Latto,,,
Yg_Trece,,,
SenSanders,,,
ReeseW,,,
obj,,,
alleniverson,,,
Arsenal,,,
Saweetie,,,
JaMorant,,,
KylieJenner,,,
BillGates,,,
ZelenskyyUa,,,
HillaryClinton,,,
DezBryant,,,
Adele,,,
NBAonTNT,,,
MariahCarey,,,
temsbaby,,,
SuperFollows,,,
billboard,,,
_FloMilli,,,
MichelleObama,,,
LoganPaul,,,
Oprah,,,
TheRock,,,
warriors,,,
jtimberlake,,,
Zendaya,,,
BustaRhymes,,,
TheNotoriousMMA,,,
Sethrogen,,,
seankelly25,,,
jk_rowling,,,
PopCrave,,,
OffsetYRN,,,
farokh,,,
Gyakie_,,,
GavinNewsom,,,
jakepaul,,,
beatsbynav,,,
shiralazar,,,
katyperry,,,
TwitterMusic,,,
selenagomez,,,
coinbase,,,
chartdata,,,
DevinBook,,,
VitalikButerin,,,
joshhart,,,
youngthug,,,
ninaturner,,,
benlandis,,,
vincestaples,,,
NFL,,,
CP3,,,
kourtneykardash,,,
Normani,,,
Wale,,,
MoneyMan,,,
DeezeFi,,,
AntDavis23,,,
WORLDSTAR,,,
tobias31,,,
Timbaland,,,
LILUZIVERT,,,
kerrywashington,,,
halsey,,,
BAYC2745,,,
Usher,,,
xmxabena_,,,
punk6529,,,
whoisaddison,,,
NBA2K,,,
cathsimard_,,,
quintabrunson,,,
chrisbrown,,,
Coinbase_NFT,,,
Variety,,,
CozomoMedici,,,
Wendys,,,
tyleroakley,,,
djkhaled,,,
JaValeMcGee,,,
ManUtd,,,
Harry_Styles,,,
MagicJohnson,,,
NFT_NYC,,,
PatrickMahomes,,,
AriLennox,,,
