city,rickross_count,rickross_percent
Miami,286,11.111111111111109
Florida,270,10.489510489510488
Chicago,258,10.023310023310023
New York,204,7.925407925407925
Georgia,174,6.759906759906759
New York City,170,6.604506604506604
Brooklyn,147,5.7109557109557105
Houston,145,5.633255633255632
Washington DC,129,5.011655011655011
Atlanta,125,4.856254856254856
Texas,109,4.234654234654234
Bronx,75,2.9137529137529135
Baltimore,67,2.6029526029526027
DMV,62,2.4087024087024083
Queens,62,2.4087024087024083
New Orleans,60,2.3310023310023307
Cleveland,58,2.2533022533022526
Tampa,54,2.0979020979020975
Tennessee,40,1.554001554001554
Connecticut,34,1.3209013209013207
