interests,rolex_count,rolex_percent
Cryptocurrency,542,10.44114814101329
Fashion,413,7.956077827008282
NFT Enthusiast,369,7.108456944712
Investor,348,6.703910614525138
Technology,314,6.048930841841648
Bitcoin Enthusiast,281,5.413215180119437
Photographer,252,4.854555962242341
Finance,240,4.623386630706992
Analyst,208,4.006935079946059
Video Games,204,3.9298786361009426
Entertainment,192,3.6987093045655937
Health,163,3.1400500866884986
Beauty,148,2.851088422269312
Photography,141,2.7162396455403575
Podcast,118,2.2731650934309378
Nature Lover,117,2.2539009824696588
United States Army,94,1.8108264303602386
Veteran,87,1.6759776536312845
Blogger,85,1.6374494317087263
Activism,68,1.309959545366981
