jobs,rolex_count,rolex_percent
Entrepreneur,1416,17.684526039715244
Artist,539,6.731609841388783
Designer,513,6.406893967778194
Director,496,6.194579742725114
CEO,488,6.094667166229549
Coach,350,4.371175221681029
Writer,328,4.096415636318221
Content Creator,290,3.621830897964281
Producer,274,3.422005744973148
Management,252,3.1472461596103405
Teacher,189,2.3604346197077555
Author,188,2.3479455476458098
Attorney,177,2.2105657549644055
Onlyfans,175,2.1855876108405146
Creator,168,2.098164106406894
Gamer,163,2.0357187460971646
Developer,162,2.0232296740352185
Musician,145,1.8109154489821404
Journalist,136,1.6985138004246285
Traveling,129,1.6110902959910078
