nationality,rolex_count,rolex_percent
India,727,11.19150246305419
United Kingdom,551,8.48214285714286
Italy,320,4.9261083743842375
Mexico,318,4.895320197044336
France,277,4.264162561576355
Canada,260,4.002463054187193
Germany,200,3.078817733990148
Spain,192,2.9556650246305427
Brazil,191,2.940270935960592
South Africa,177,2.724753694581281
Turkey,161,2.4784482758620694
Switzerland,160,2.4630541871921188
Colombia,157,2.416871921182267
Japan,148,2.27832512315271
China,146,2.2475369458128083
Pakistan,142,2.1859605911330053
Ukraine,123,1.8934729064039413
Australia,117,1.801108374384237
Nigeria,99,1.5240147783251234
Ireland,98,1.5086206896551726
