interests,telfarglobal_count,telfarglobal_percent
Black Lives Matter,1171,21.038447718289618
Fashion,999,17.94825727632052
Beauty,417,7.491915199425081
Podcast,224,4.024434063959756
Photographer,218,3.9166367229608348
Adult Content,207,3.71900826446281
Health,198,3.557312252964427
Blogger,154,2.766798418972332
Esthetician,153,2.7488321954725117
Photography,140,2.5152712899748475
Video Games,123,2.209845490477902
Entertainment,116,2.0840819259791594
Make Up Artist,102,1.8325547969816744
Vegan,99,1.7786561264822136
Fan Account,88,1.58102766798419
United States Army,79,1.4193316564858067
Skincare,75,1.3474667624865255
Analyst,74,1.329500538986705
Activism,71,1.2756018684872443
Feminist,69,1.2396694214876036
