jobs,telfarglobal_count,telfarglobal_percent
Artist,1047,12.060822485888721
Writer,763,8.789309987328647
Entrepreneur,753,8.674115885266673
Designer,597,6.877087893099872
Content Creator,390,4.492569980417002
Educator,370,4.262181776293053
CEO,344,3.96267711093192
Producer,343,3.951157700725722
Creator,334,3.847483008869945
Director,324,3.7322889068079714
Model,310,3.571017163921207
Teacher,229,2.6379449372192143
Author,229,2.6379449372192143
Editor,205,2.361479092270476
DJ,200,2.303882041239488
Host,164,1.88918327381638
Attorney,164,1.88918327381638
Onlyfans,153,1.7624697615482083
Coach,149,1.716392120723419
Creative Director,127,1.4629650961870748
