city,theestallion_count,theestallion_percent
New York City,382,9.406550110810146
Houston,377,9.283427727160799
Chicago,351,8.643191332184191
Atlanta,304,7.485840925880326
New York,287,7.067224821472544
Texas,283,6.968726914553066
Georgia,276,6.796355577443978
Florida,264,6.500861856685545
Washington DC,218,5.368135927111549
Miami,216,5.318886973651811
Brooklyn,213,5.245013543462202
Queens,145,3.570549125831076
DMV,126,3.102684067963556
Baltimore,95,2.339325289337602
Cleveland,84,2.068456045309037
Bronx,83,2.0438315685791677
New Orleans,73,1.7975868012804728
Tennessee,66,1.6252154641713863
Tokyo,61,1.5020930805220392
Tampa,52,1.2804727899532136
