nationality,theestallion_count,theestallion_percent
Mexico,1765,8.907393388846833
Jamaica,1288,6.500126167045169
Nigeria,1083,5.46555639666919
Puerto Rico,958,4.834721170830179
United Kingdom,813,4.102952308856927
South Africa,748,3.7749179914206414
Philippines,727,3.6689376734796872
Brazil,653,3.295483219782993
Haiti,645,3.2551097653292964
Dominican Republic,629,3.1743628564219026
Canada,594,2.9977289931869797
Italy,455,2.2962402220539997
India,383,1.9328791319707292
Ghana,364,1.8369921776431997
Colombia,341,1.7209184960888215
Trinidad & Tobago,337,1.7007317688619732
Japan,326,1.6452182689881405
France,293,1.4786777693666415
Ukraine,270,1.3626040878122634
China,251,1.2667171334847338
