city,trvisxx_count,trvisxx_percent
New York City,392,11.733014067644417
Chicago,311,9.308590242442381
Houston,305,9.129003292427415
New York,303,9.069140975755762
Texas,234,7.003891050583657
Washington DC,208,6.225680933852138
Miami,207,6.195749775516311
Florida,203,6.076025142173001
Georgia,188,5.627057767135588
Atlanta,163,4.878778808739898
Brooklyn,151,4.519604908709967
Queens,105,3.1427716252618976
Tokyo,74,2.2149057168512423
DMV,70,2.0951810835079314
Cleveland,66,1.9754564501646212
Bronx,64,1.915594133492966
Tennessee,63,1.8856629751571388
Tampa,58,1.7360071834780004
Baltimore,48,1.4366956001197246
Connecticut,41,1.2271774917689313
