jobs,trvisxx_count,trvisxx_percent
Artist,5460,19.692707206232416
Content Creator,2247,8.104306427180264
Producer,1725,6.221597056914088
Writer,1534,5.5327129769891075
Designer,1482,5.345163384548799
Entrepreneur,1356,4.890716295174205
Gamer,1210,4.364134747168722
Onlyfans,1181,4.259539782153935
Creator,856,3.0873548294020057
Streamer,853,3.076534660607372
CEO,811,2.9250522974825075
Musician,770,2.777176657289187
Model,729,2.629301017095867
Fortnie,646,2.3299430137776813
Editor,610,2.200100988242083
DJ,529,1.907956430786987
Teacher,458,1.6518791026473345
Songwriter,426,1.536463968837914
Music Producer,400,1.4426891726177595
Director,384,1.3849816057130493
