city,tylerthecreator_count,tylerthecreator_percent
Los Angeles,248,11.460258780036968
New York City,233,10.76709796672828
Chicago,194,8.964879852125692
New York,168,7.763401109057301
Miami,130,6.007393715341959
Washington DC,128,5.914972273567468
Florida,127,5.868761552680222
Atlanta,114,5.268022181146026
Texas,108,4.990757855822551
Georgia,98,4.5286506469500925
Houston,91,4.205175600739372
Brooklyn,87,4.020332717190389
DMV,63,2.911275415896488
Tokyo,54,2.4953789279112755
Queens,48,2.2181146025878005
Bronx,43,1.9870609981515712
Baltimore,38,1.756007393715342
Cleveland,37,1.7097966728280962
Tampa,33,1.5249537892791127
Connecticut,32,1.478743068391867
