nationality,tylerthecreator_count,tylerthecreator_percent
Mexico,1750,12.60262134523981
United Kingdom,701,5.04825003600749
Nigeria,598,4.306495751116231
Puerto Rico,589,4.241682269912142
Brazil,574,4.133659801238657
Canada,560,4.032838830476739
Philippines,476,3.427913005905228
South Africa,417,3.0030246291228577
Italy,397,2.858994670891545
Dominican Republic,380,2.73656920639493
Ukraine,371,2.6717557251908395
Jamaica,360,2.592539248163618
Japan,317,2.282874837966297
France,314,2.2612703442316007
Germany,269,1.9372029382111478
Ireland,244,1.7571654904220075
Colombia,234,1.6851505113063516
Ghana,230,1.6563445196600892
Australia,225,1.620337030102261
Haiti,219,1.5771280426328675
