jobs,wizkhalifa_count,wizkhalifa_percent
Artist,5796,20.23248507697141
Entrepreneur,2561,8.93985408594268
Content Creator,1878,6.5556602785632
Producer,1858,6.4858449401333464
Writer,1459,5.0930289384577785
Designer,1399,4.88358292316822
Onlyfans,1355,4.729989178622543
CEO,1147,4.003909658952071
Musician,1058,3.6932314029392255
Creator,889,3.1032917932069672
Gamer,828,2.8903550109959157
Model,750,2.618075191119489
Songwriter,681,2.377212273536496
DJ,590,2.0595524836806645
Coach,473,1.651132753866024
Teacher,470,1.6406604531015463
Music Producer,455,1.5882989492791564
Chef,401,1.3997975355185532
Influencer,401,1.3997975355185532
Director,364,1.2706391594233253
