nationality,wizkhalifa_count,wizkhalifa_percent
Nigeria,1398,8.774242138956883
Mexico,1018,6.3892550053348405
South Africa,806,5.058683236050963
United Kingdom,767,4.813908240758175
Canada,711,4.462436452645453
Jamaica,628,3.9415050524069537
Ghana,488,3.0628255821251495
Puerto Rico,477,2.993786480888722
Italy,460,2.887089688068788
Brazil,408,2.560723027678403
Dominican Republic,395,2.4791313625808074
India,348,2.184146111843344
Philippines,343,2.152764702190422
Senegal,298,1.870332015314128
Haiti,296,1.8577794514529593
France,268,1.6820435573965984
Ukraine,258,1.6192807380907548
Colombia,256,1.6067281742295862
Germany,253,1.5878993284378335
Kenya,250,1.5690704826460806
