User,User ID,Name,Location,Bio,Followers,Following,Created_at,Verified,URL,Protected,Statuses Count,Profile Picture URL,UUID,DB Update Day,Category Level 1,Category Level 2,Entity
telfarglobal,238394685,TELFAR,,,115899,0,2011-01-15 02:26:12,True,https://t.co/XfONJoN02J,0.0,2043,https://pbs.twimg.com/profile_images/1463245607355748352/SQB1vx-r_normal.jpg,2693531954,08-26-2022,Retail,Luxury Retail,Company
offwht,1390520113,Off-White™,,"twitter account for fashion label based in Milan, Italy. defining the grey area between black and white as Off-White™⁣⁣ ⁣",218203,1,2013-04-29 21:28:36,True,https://t.co/2K5xybKcMm,0.0,5245,https://pbs.twimg.com/profile_images/1179425333654765569/XC2Hfci0_normal.jpg,3529152916,08-26-2022,Retail,Luxury Retail,Company
bapeofficial,217304384,BAPE.COM,"Tokyo-to, Japan",A BATHING APE® OFFICIAL ACCOUNT.  #bape,249273,4,2010-11-19 04:04:14,True,http://t.co/bX9w9u4e1I,0.0,4861,https://pbs.twimg.com/profile_images/875632177030979584/AyuhoxTz_normal.jpg,874916867,08-26-2022,Retail,Luxury Retail,Company
kith,377082410,KITH,"New York, NY",Just Us,288671,4,2011-09-21 00:16:25,True,https://t.co/zsRwXDflK3,0.0,14724,https://pbs.twimg.com/profile_images/1325437369798025216/6dgZGVMw_normal.jpg,4266684232,08-26-2022,Retail,Luxury Retail,Company
gucci,16913418,gucci,"Florence, Italy","The world of Gucci, as envisioned by Creative Director #AlessandroMichele",6887973,370,2008-10-22 21:39:29,True,https://t.co/vpGxW6zEbk,0.0,11954,https://pbs.twimg.com/profile_images/1528370007276650502/ftWdlmei_normal.jpg,886555849,08-26-2022,Retail,Luxury Retail,Company
fendi,114796408,Fendi,"Rome, Italy","From a family-run atelier in Rome to an iconic global Maison, Fendi has signified creativity & fine craftsmanship since 1925.",1009613,2,2010-02-16 16:51:22,True,None,0.0,8968,https://pbs.twimg.com/profile_images/1443855231293575183/uJl8NMPF_normal.jpg,3945010508,08-26-2022,Retail,Luxury Retail,Company
rolex,494027712,ROLEX,"Geneva, Switzerland","Capturing moments in time, inspiring people to see the world through a new lens. Discover our latest stories.",879092,218,2012-02-16 12:59:18,True,https://t.co/lrVkllZ0WO,0.0,573,https://pbs.twimg.com/profile_images/1070337286338940929/2F7gZ9Cr_normal.jpg,1178825833,08-26-2022,Retail,Luxury Retail,Company
givenchy,274040176,Givenchy,Worldwide,,1125550,2,2011-03-29 16:20:57,True,https://t.co/eQzP8aFV0S,0.0,1676,https://pbs.twimg.com/profile_images/1466014891601534981/G7-95Uqn_normal.jpg,1965955123,08-26-2022,Retail,Luxury Retail,Company
armani,78021221,Armani,,Keep up to date with the latest news about the Giorgio Armani and Emporio Armani Collections. Also follow @armaniexchange for more Armani updates,3531681,217,2009-09-28 14:02:36,True,https://t.co/LNh8skmbfF,0.0,12894,https://pbs.twimg.com/profile_images/1072771645016821760/qvwEFahG_normal.jpg,3032963572,08-26-2022,Retail,Luxury Retail,Company
louisvuitton,44084633,Louis Vuitton,,The official Twitter page for Louis Vuitton Worldwide.,9529657,5,2009-06-02 08:22:48,True,https://t.co/LoLJn0C9r5,0.0,7489,https://pbs.twimg.com/profile_images/744891970380767232/jum1SDsC_normal.jpg,2656073927,08-26-2022,Retail,Luxury Retail,Company
