city,1future_count,1future_percent
Chicago,222,10.787172011661808
Atlanta,200,9.718172983479107
New York,182,8.843537414965986
Florida,163,7.92031098153547
Georgia,159,7.725947521865889
Houston,156,7.580174927113703
Miami,153,7.434402332361516
New York City,139,6.754130223517977
Brooklyn,89,4.3245869776482015
Texas,88,4.275996112730806
DMV,73,3.547133138969874
Washington DC,66,3.206997084548105
Cleveland,48,2.3323615160349855
New Orleans,45,2.186588921282799
Baltimore,43,2.0894071914480077
Bronx,43,2.0894071914480077
Queens,38,1.8464528668610303
Tennessee,37,1.7978620019436347
Tokyo,29,1.4091350826044706
Connecticut,29,1.4091350826044706
