interests,1future_count,1future_percent
NFT Enthusiast,1288,18.318873559948802
Cryptocurrency,702,9.984354999288865
Video Games,566,8.050064002275638
Entertainment,494,7.0260275920921655
Fashion,492,6.997582136253734
Black Lives Matter,266,3.7832456265111656
Investor,257,3.655241075238232
Beauty,253,3.5983501635613715
Photographer,214,3.04366377471199
Podcast,202,2.8729910396814113
Adult Content,179,2.5458682975394686
Singer,174,2.474754657943394
Bitcoin Enthusiast,156,2.2187455553975255
Analyst,146,2.0765182762053764
Photography,126,1.7920637178210783
Nature Lover,121,1.7209500782250038
Blogger,108,1.53605461527521
United States Army,102,1.4507182477599205
Health,100,1.4222727919214908
Technology,98,1.3938273360830609
