city,1gunnagunna_count,1gunnagunna_percent
Chicago,412,12.075029308323565
Atlanta,341,9.994138335287223
New York,259,7.5908558030480675
New York City,258,7.561547479484175
Florida,243,7.121922626025793
Miami,238,6.975381008206331
Georgia,236,6.916764361078546
Houston,235,6.887456037514656
Brooklyn,175,5.128956623681127
Washington DC,165,4.835873388042205
Texas,149,4.36694021101993
DMV,125,3.663540445486518
Baltimore,80,2.3446658851113718
Cleveland,75,2.1981242672919112
Bronx,74,2.1688159437280192
Tennessee,61,1.7878077373974213
New Orleans,54,1.582649472450176
Queens,50,1.4654161781946073
Tampa,47,1.3774912075029309
Connecticut,40,1.1723329425556859
