interests,1gunnagunna_count,1gunnagunna_percent
NFT Enthusiast,1215,11.907095256762053
Video Games,1166,11.426891415131323
Fashion,946,9.270874166993337
Entertainment,807,7.908663269306154
Cryptocurrency,738,7.232457859662878
Black Lives Matter,473,4.635437083496669
Beauty,411,4.027832222657781
Photographer,405,3.969031752254018
Singer,354,3.469227753822031
Investor,302,2.959623676989416
Adult Content,260,2.5480203841630735
Podcast,253,2.479419835358683
Analyst,219,2.146217169737358
Nature Lover,211,2.0678165425323405
Photography,208,2.0384163073304586
Blogger,189,1.8522148177185418
Health,171,1.675813406507252
Technology,160,1.5680125441003527
Bitcoin Enthusiast,157,1.5386123088984713
FX Trading,149,1.4602116816934536
