city,21savage_count,21savage_percent
Chicago,566,12.078531796841656
Atlanta,415,8.856167306871532
Florida,382,8.151941954758858
New York,359,7.661118224498506
New York City,347,7.405036278275714
Houston,327,6.978233034571063
Georgia,303,6.46606914212548
Miami,285,6.081946222791294
Brooklyn,243,5.185659411011525
Texas,221,4.716175842936407
Washington DC,210,4.481434058898849
DMV,173,3.6918480580452413
Cleveland,113,2.411438326931285
Bronx,109,2.3260776781903543
Queens,108,2.3047375160051216
Baltimore,100,2.134016218523261
Tennessee,89,1.8992744344857024
Tampa,73,1.5578318395219803
Connecticut,65,1.3871105420401197
New Orleans,64,1.365770379854887
