interests,21savage_count,21savage_percent
Video Games,2024,14.217476819331273
Fashion,1304,9.15987636976679
Black Lives Matter,1187,8.338016296712562
Entertainment,1072,7.530205113796012
NFT Enthusiast,699,4.910087103118855
Beauty,662,4.65018263557179
Cryptocurrency,577,4.0531048047204274
Podcast,513,3.603540320314696
Singer,487,3.4209047485248667
Adult Content,472,3.3155380724922736
Photographer,463,3.252318066872718
Nature Lover,319,2.2407979769598207
Photography,314,2.205675751615623
Investor,293,2.058162405169992
Analyst,293,2.058162405169992
Health,281,1.973869064343917
Blogger,264,1.8544534981736447
Technology,231,1.6226468109019392
Fan Account,224,1.573475695420062
United States Army,219,1.5383534700758643
