nationality,21savage_count,21savage_percent
Nigeria,1944,8.59986728599867
Mexico,1660,7.343508073435078
South Africa,1172,5.184693651846936
Jamaica,1138,5.034284450342843
United Kingdom,1034,4.574209245742092
Canada,902,3.990267639902676
Haiti,854,3.777925237779252
Italy,777,3.437292634372926
Puerto Rico,772,3.415173634151736
Ghana,714,3.1585932315859324
Dominican Republic,628,2.7781464277814636
Brazil,454,2.008405220084052
France,442,1.955319619553196
Germany,393,1.7385534173855337
Kenya,371,1.6412298164122978
Trinidad & Tobago,336,1.486396814863968
India,318,1.406768414067684
Spain,308,1.362530413625304
Philippines,302,1.3359876133598758
China,281,1.243087812430878
