jobs,armani_count,armani_percent
Designer,1905,15.77639751552795
Artist,1461,12.099378881987581
Entrepreneur,1287,10.658385093167704
Model,717,5.937888198757766
Writer,575,4.761904761904763
Content Creator,515,4.2650103519668745
CEO,470,3.892339544513458
Onlyfans,417,3.4534161490683246
Director,352,2.9151138716356115
Teacher,341,2.8240165631469987
Producer,286,2.3685300207039344
Management,265,2.1946169772256736
Coach,265,2.1946169772256736
Creator,254,2.1035196687370608
Author,200,1.6563146997929612
Stylist,171,1.4161490683229816
Blogger,159,1.3167701863354042
Journalist,158,1.308488612836439
Traveling,157,1.3002070393374745
Influencer,156,1.2919254658385098
