interests,bapeofficial_count,bapeofficial_percent
NFT Enthusiast,1582,21.206434316353885
Fashion,1546,20.723860589812336
Cryptocurrency,689,9.235924932975871
Video Games,597,8.002680965147455
Photographer,389,5.214477211796247
Entertainment,283,3.7935656836461127
Investor,208,2.788203753351207
Black Lives Matter,182,2.439678284182306
Photography,174,2.3324396782841825
Technology,163,2.184986595174263
Podcast,156,2.0911528150134044
Beauty,137,1.836461126005362
Bitcoin Enthusiast,124,1.6621983914209117
Analyst,103,1.3806970509383378
Mixed Martial Arts,87,1.1662198391420913
Finance,83,1.1126005361930296
United States Army,80,1.0723860589812335
Health,80,1.0723860589812335
Adult Content,65,0.871313672922252
Blogger,63,0.8445040214477213
