nationality,bapeofficial_count,bapeofficial_percent
Japan,687,9.963741841914427
Mexico,635,9.209572153734586
United Kingdom,426,6.1783901377809975
China,309,4.481508339376358
Philippines,305,4.423495286439447
Puerto Rico,288,4.176939811457577
Canada,282,4.089920232052211
Italy,243,3.5242929659173305
France,218,3.1617113850616376
Dominican Republic,205,2.9731689630166773
Jamaica,202,2.9296591733139943
Colombia,147,2.1319796954314714
Nigeria,133,1.9289340101522838
Australia,132,1.914430746918056
South Africa,131,1.8999274836838282
Brazil,126,1.8274111675126894
Germany,113,1.6388687454677298
El Salvadorian,110,1.5953589557650465
Spain,109,1.5808556925308188
Haiti,108,1.566352429296591
