city,dojacat_count,dojacat_percent
New York City,255,14.198218262806236
Chicago,174,9.688195991091316
New York,154,8.574610244988865
Washington DC,129,7.182628062360802
Texas,128,7.126948775055679
Miami,116,6.458797327394208
Atlanta,98,5.456570155902005
Georgia,96,5.34521158129176
Florida,94,5.233853006681515
Houston,90,5.011135857461025
Queens,71,3.953229398663697
Brooklyn,61,3.3964365256124722
Tokyo,51,2.839643652561247
DMV,45,2.5055679287305126
Tennessee,41,2.2828507795100226
Cleveland,36,2.0044543429844097
Tampa,30,1.670378619153675
Bronx,30,1.670378619153675
Connecticut,28,1.55902004454343
Baltimore,23,1.2806236080178175
