nationality,dojacat_count,dojacat_percent
Mexico,1535,9.854904982023626
Brazil,1194,7.665639445300464
United Kingdom,842,5.405752439650745
Puerto Rico,662,4.250128402670775
Philippines,650,4.173086800205445
Canada,578,3.7108371854134563
Italy,483,3.100924499229584
Nigeria,434,2.786337955829482
Jamaica,417,2.6771956856702617
Colombia,390,2.5038520801232664
Dominican Republic,383,2.4589111453518235
South Africa,325,2.0865434001027223
France,323,2.073703133025167
Ireland,307,1.970980996404725
Spain,284,1.8233179250128402
Australia,282,1.810477657935285
Ukraine,281,1.8040575243965078
Chile,278,1.7847971237801745
Argentina,269,1.7270159219311763
Venezuela,249,1.5986132511556241
