User,Normalized,Category Level 1,Category Level 2,Entity
Drake,100.0,Music,Rapper,Person
elonmusk,48.214285714285715,Technology,Tech Entrepreneur,Person
KingJames,23.214285714285715,Sports,Basketball Player,Person
iamcardib,23.214285714285715,Music,Rapper,Person
NICKIMINAJ,21.428571428571427,Music,Rapper,Person
rihanna,19.642857142857142,Music,Pop Artist,Person
JColeNC,19.642857142857142,Music,Rapper,Person
Twitter,19.642857142857142,Technology,Tech Company,Company
BarackObama,17.857142857142858,Politics,Politician,Person
verified,17.857142857142858,Technology,Tech Company,Company
LilNasX,17.857142857142858,Music,Rapper,Person
jackharlow,16.071428571428573,Music,Rapper,Person
theweeknd,16.071428571428573,Music,Pop Artist,Person
theestallion,16.071428571428573,Music,Rapper,Person
Eminem,14.285714285714285,Music,Rapper,Person
SnoopDogg,12.5,Music,Rapper,Person
MileyCyrus,12.5,Music,Pop Artist,Person
POTUS,12.5,Politics,Politician,Person
lilbaby4PF,12.5,Music,Rapper,Person
LilTunechi,12.5,Music,Rapper,Person
kanyewest,12.5,Music,Rapper,Person
NBA,12.5,Sports,Sports League,Organization
justinbieber,10.714285714285714,Music,Pop Artist,Person
MrBeast,10.714285714285714,Video Games,Streamer,Person
sza,10.714285714285714,Musics,Pop Artist,Person
StephenCurry30,10.714285714285714,Sports,Basketball Player,Person
britneyspears,10.714285714285714,Music,Pop Artist,Person
AOC,10.714285714285714,Politics,Politician,Person
ChloeBailey,10.714285714285714,Music,Pop Artist,Person
kendricklamar,10.714285714285714,Music,Rapper,Person
SHAQ,10.714285714285714,Sports,Basketball Player,Person
jack,10.714285714285714,Technology,Tech Entrepreneur,Person
Cristiano,8.928571428571429,Sports,Soccer Player,Person
espn,8.928571428571429,Sports,Sports Network,Company
lizzo,8.928571428571429,Music,Pop Artist,Person
garyvee,8.928571428571429,Technology,Tech Entrepreneur,Person
KDTrey5,8.928571428571429,Sports,Basketball Player,Person
wizkhalifa,8.928571428571429,Music,Rapper,Person
MissyElliott,7.142857142857142,Music,Rapper,Person
KiDCuDi,7.142857142857142,Music,Rapper,Person
aliciakeys,7.142857142857142,Music,Pop Artist,Person
netflix,7.142857142857142,Technology,Tech Company,Company
joerogan,7.142857142857142,Media,Podcaster,Person
YouTube,7.142857142857142,Technology,Tech Company,Company
serenawilliams,7.142857142857142,Sports,Tennis Player,Person
DojaCat,7.142857142857142,Music,Pop Artist,Person
ZO2_,7.142857142857142,,,
JoeBiden,7.142857142857142,Politics,Politician,Person
IAmSteveHarvey,7.142857142857142,Media,Comedian,Person
BleacherReport,7.142857142857142,Sports,,
