interests,fendi_count,fendi_percent
Fashion,9199,44.035423647678314
Beauty,1879,8.994734322642413
BTS Enthusiast,979,4.686452848252753
Entertainment,604,2.891335567257061
Photographer,595,2.8482527525131642
Blogger,574,2.7477261847774064
NFT Enthusiast,510,2.4413595021541408
Nature Lover,424,2.029679272379129
Health,414,1.9818094782192441
United States Army,406,1.9435136428913358
Technology,381,1.8238391574916233
Cryptocurrency,347,1.6610818573480135
Photography,344,1.646720919100048
Black Lives Matter,269,1.2876974629009097
Finance,269,1.2876974629009097
Adult Content,262,1.2541886069889903
Wellness,260,1.2446146481570128
Fan Account,251,1.2015318334131166
Video Games,244,1.1680229775011968
Analyst,234,1.1201531833413116
