jobs,fendi_count,fendi_percent
Designer,3624,16.244564973777404
Artist,2755,12.349276076919633
Entrepreneur,2284,10.238020529831013
Model,1459,6.53996145053566
Writer,1055,4.729033125644359
Content Creator,1035,4.639383208570533
CEO,905,4.056658747590659
Onlyfans,678,3.0391321888027263
Director,616,2.7612174458738634
Producer,568,2.5460576448966785
Management,495,2.218835447577211
Teacher,479,2.14711551391815
Creator,478,2.142633018064459
Stylist,468,2.0978080595275452
Coach,431,1.9319557129409657
Influencer,358,1.6047335156214981
Author,338,1.5150835985476714
Blogger,335,1.5016361109865974
Journalist,299,1.3402662602537094
Editor,280,1.2550988390335742
