city,givenchy_count,givenchy_percent
New York City,236,19.032258064516128
New York,146,11.774193548387096
Georgia,109,8.790322580645162
Miami,95,7.661290322580645
Florida,87,7.016129032258064
Washington DC,79,6.370967741935483
Chicago,68,5.483870967741936
Texas,58,4.67741935483871
Queens,54,4.354838709677419
Brooklyn,45,3.6290322580645165
Tokyo,44,3.5483870967741935
Houston,42,3.387096774193548
Atlanta,27,2.1774193548387095
Tampa,21,1.693548387096774
Caracas,20,1.6129032258064515
Cleveland,19,1.532258064516129
DMV,18,1.4516129032258065
New Orleans,15,1.2096774193548387
Tennessee,15,1.2096774193548387
Bronx,13,1.0483870967741937
