city,gucci_count,gucci_percent
New York City,268,13.75770020533881
Georgia,214,10.985626283367555
Florida,173,8.880903490759755
New York,164,8.41889117043121
Chicago,161,8.264887063655031
Miami,128,6.570841889117044
Washington DC,116,5.95482546201232
Texas,112,5.749486652977413
Tokyo,90,4.620123203285422
Brooklyn,79,4.055441478439425
Houston,78,4.004106776180698
Queens,72,3.696098562628337
Atlanta,51,2.618069815195072
Tennessee,39,2.002053388090349
Cleveland,33,1.6940451745379879
Tampa,29,1.48870636550308
Baltimore,24,1.2320328542094456
DMV,24,1.2320328542094456
Nashville,23,1.180698151950719
Bronx,22,1.1293634496919918
