interests,gucci_count,gucci_percent
Fashion,6477,23.756602112676052
BTS Enthusiast,3759,13.787411971830984
NFT Enthusiast,2967,10.882482394366198
Beauty,1842,6.756161971830984
United States Army,1751,6.422388497652581
Cryptocurrency,1482,5.435739436619719
Photographer,731,2.68119131455399
Entertainment,551,2.0209800469483565
Nature Lover,544,1.9953051643192488
Investor,489,1.793573943661972
Video Games,468,1.716549295774648
Photography,466,1.7092136150234742
Blogger,435,1.5955105633802817
Health,431,1.5808392018779345
Technology,424,1.5551643192488263
Bitcoin Enthusiast,402,1.4744718309859155
Adult Content,394,1.4451291079812205
Analyst,327,1.1993838028169013
Fan Account,314,1.1517018779342725
Singer,299,1.0966842723004695
