interests,iamcardib_count,iamcardib_percent
Fashion,501,11.637630662020904
Adult Content,388,9.012775842044134
Beauty,342,7.944250871080138
Entertainment,270,6.271777003484319
BTS Enthusiast,233,5.412311265969802
NFT Enthusiast,226,5.249709639953541
Nature Lover,215,4.994192799070847
Cryptocurrency,199,4.6225319396051106
Video Games,178,4.134727061556329
United States Army,157,3.646922183507549
Singer,140,3.2520325203252027
Analyst,126,2.926829268292682
Photographer,102,2.3693379790940763
Black Lives Matter,92,2.1370499419279905
Health,91,2.1138211382113816
Technology,82,1.9047619047619042
Blogger,78,1.8118466898954702
Podcast,74,1.7189314750290354
Photography,73,1.6957026713124272
Comedy,61,1.4169570267131237
