jobs,iamcardib_count,iamcardib_percent
Artist,1240,15.363647627307644
Content Creator,883,10.940403915252137
Entrepreneur,644,7.97918473547268
Onlyfans,593,7.347292776607607
Writer,491,6.083508858877463
Designer,481,5.959608474786272
Model,348,4.311733366373436
CEO,281,3.481600792962458
Producer,278,3.444430677735102
Musician,255,3.1594597943253624
Teacher,227,2.812538718870029
Creator,223,2.762978565233552
Gamer,194,2.403667451369099
Songwriter,153,1.8956758765952173
DJ,142,1.7593854540949079
Influencer,128,1.5859249163672409
Author,117,1.4496344938669312
Chef,116,1.4372444554578119
Coach,107,1.3257341097757402
Comedian,107,1.3257341097757402
