nationality,iamcardib_count,iamcardib_percent
Nigeria,386,6.611853374443302
United Kingdom,329,5.635491606714628
Mexico,328,5.618362452894826
Dominican Republic,267,4.573484069886948
China,251,4.299417608770127
South Africa,230,3.9397053785543
Jamaica,224,3.8369304556354913
Brazil,214,3.6656389174374784
Puerto Rico,182,3.1175059952038366
Colombia,156,2.672147995889003
Italy,153,2.6207605344295994
Venezuela,147,2.5179856115107913
Canada,146,2.50085645769099
Ghana,137,2.3466940733127784
India,132,2.2610483042137712
Turkey,108,1.8499486125385407
Ukraine,101,1.7300445357999312
Kenya,98,1.6786570743405276
France,97,1.661527920520726
Haiti,90,1.541623843782117
