nationality,jackharlow_count,jackharlow_percent
Mexico,2821,9.643785040339123
United Kingdom,1540,5.264597292492821
Nigeria,1490,5.093668808970327
Puerto Rico,1470,5.0252974155613295
Canada,1445,4.939833173800082
Jamaica,1227,4.194584985642008
Dominican Republic,995,3.401476822097634
South Africa,925,3.1621769451661423
Italy,843,2.8818542321892524
Haiti,751,2.5673458225078627
Philippines,703,2.4032544783262684
Ireland,633,2.1639546013947766
Ghana,604,2.06481608095173
Brazil,601,2.05456037194038
Trinidad & Tobago,520,1.77765622863394
El Salvadorian,515,1.7605633802816902
Australia,514,1.7571448106112404
France,493,1.6853548475317928
Germany,454,1.5520306303842475
Colombia,445,1.5212635033501982
