city,jcolenc_count,jcolenc_percent
Chicago,352,11.47701336811216
New York,283,9.227257906749266
New York City,255,8.314313661558526
Miami,217,7.075317900228235
Houston,207,6.749266384088686
Florida,203,6.618845777632866
Texas,193,6.292794261493315
Georgia,179,5.836322138897946
Brooklyn,165,5.3798500163025755
Washington DC,160,5.2168242582328
Atlanta,155,5.053798500163025
DMV,106,3.45614607107923
Cleveland,91,2.9670687968699054
Queens,80,2.6084121291164
Bronx,75,2.4453863710466246
Baltimore,62,2.02151940006521
Tampa,51,1.6628627323117051
New Orleans,50,1.6302575806977502
Tennessee,50,1.6302575806977502
Nashville,43,1.402021519400065
