jobs,jcolenc_count,jcolenc_percent
Artist,6148,19.91190568726519
Entrepreneur,2597,8.411063609275814
Producer,2526,8.181111542945978
Content Creator,1789,5.794144319212334
Writer,1776,5.752040419743491
Designer,1518,4.916439953361835
CEO,1218,3.9448115040808402
Onlyfans,1135,3.6759942997797648
Musician,1110,3.5950252623396817
Creator,959,3.105972276201581
Gamer,859,2.782096126441249
Songwriter,807,2.613680528565877
Model,648,2.0987174504469497
Music Producer,641,2.076046119963726
Coach,620,2.0080321285140563
DJ,524,1.697111024744138
Director,440,1.4250550589454594
Teacher,424,1.3732348749838066
Editor,396,1.2825495530509137
Streamer,393,1.2728332685581034
