nationality,jcolenc_count,jcolenc_percent
South Africa,1342,7.840616966580978
Nigeria,1293,7.554335125029213
Mexico,1277,7.460855340032717
United Kingdom,826,4.825893900444029
Canada,770,4.498714652956298
Jamaica,730,4.2650151904650615
Ghana,647,3.780088805795747
Puerto Rico,643,3.7567188595466234
Italy,486,2.8394484692685205
Dominican Republic,463,2.7050712783360598
Haiti,410,2.395419490535172
Kenya,318,1.8579107268053285
Philippines,315,1.8403832671184857
Brazil,301,1.7585884552465532
China,297,1.7352185089974295
India,290,1.6943211030614629
Germany,276,1.61252629118953
France,254,1.4839915868193503
Japan,245,1.431409207758822
Trinidad & Tobago,238,1.3905118018228557
