interests,kanyewest_count,kanyewest_percent
NFT Enthusiast,2623,12.828915191235449
Cryptocurrency,2106,10.300303237797126
Video Games,1804,8.823241709869901
Fashion,1276,6.2408295021031
Black Lives Matter,792,3.8736183116502003
Investor,766,3.7464540741465324
Entertainment,743,3.6339626332779025
Photographer,739,3.614398904431184
Bitcoin Enthusiast,667,3.2622517851902573
Technology,640,3.1301966154749095
Podcast,626,3.061723564511396
Health,582,2.8465225471974955
Adult Content,580,2.8367406827741366
Analyst,554,2.7095764452704687
Beauty,520,2.543284750073364
Photography,428,2.0933189865988457
Finance,428,2.0933189865988457
Fan Account,422,2.0639733933287685
Nature Lover,408,1.9955003423652549
Singer,371,1.8145358505331117
