city,kendricklamar_count,kendricklamar_percent
Chicago,263,11.224925309432352
New York,208,8.877507469056765
New York City,186,7.93854033290653
Washington DC,181,7.725138711054205
Miami,155,6.615450277422109
Houston,148,6.316688006828854
Brooklyn,142,6.060606060606061
Florida,136,5.80452411438327
Atlanta,135,5.761843790012804
Georgia,129,5.5057618437900135
Texas,127,5.420401195049083
DMV,75,3.201024327784892
Queens,65,2.7742210840802395
Cleveland,62,2.646180110968843
Bronx,57,2.4327784891165174
Tampa,46,1.9632949210414004
Tokyo,45,1.920614596670935
Baltimore,40,1.7072129748186091
Connecticut,36,1.5364916773367479
Tennessee,34,1.4511310285958174
