nationality,kendricklamar_count,kendricklamar_percent
Mexico,1325,8.588837751993255
Nigeria,1003,6.501588124716403
South Africa,872,5.652427562066504
United Kingdom,818,5.302391910287157
Canada,687,4.453231347637257
Ghana,663,4.297659946846436
Jamaica,485,3.143838724314513
Italy,462,2.9947494652233084
Puerto Rico,415,2.690088805341284
Brazil,407,2.638231671744344
France,382,2.4761781292539045
Ukraine,334,2.1650353276722623
Philippines,311,2.0159460685810586
Haiti,311,2.0159460685810586
Japan,290,1.8798210928890897
Ireland,284,1.8409282426913844
Dominican Republic,279,1.8085175341932966
Germany,271,1.7566604005963566
India,259,1.6788747002009454
Kenya,257,1.6659104168017105
