interests,kith_count,kith_percent
Fashion,2041,22.443369254453486
NFT Enthusiast,1171,12.876621948537496
Photographer,694,7.631405322190453
Cryptocurrency,620,6.817681988124037
Video Games,533,5.861007257532439
Entertainment,366,4.024631625247416
Podcast,347,3.8157026610952265
Photography,304,3.3428634264350117
Investor,293,3.2219045524521657
Technology,253,2.782054101605454
Black Lives Matter,252,2.771057840334286
Beauty,221,2.430173740928084
Finance,176,1.9353419837255328
Health,172,1.891356938640862
Analyst,160,1.7594018033868484
Blogger,136,1.4954915328788212
Bitcoin Enthusiast,135,1.4844952716076532
United States Army,125,1.3745326588959752
Veteran,124,1.3635363976248074
Mixed Martial Arts,103,1.1326149109302834
