jobs,kith_count,kith_percent
Entrepreneur,1864,13.290552584670232
Designer,1665,11.871657754010695
Artist,1496,10.666666666666668
Director,772,5.504456327985739
Producer,752,5.361853832442067
Content Creator,570,4.064171122994653
Coach,530,3.7789661319073082
DJ,513,3.6577540106951862
Creator,503,3.5864527629233507
CEO,493,3.5151515151515142
Writer,478,3.4081996434937603
Gamer,343,2.4456327985739748
Onlyfans,315,2.2459893048128343
Creative Director,300,2.13903743315508
Chef,250,1.7825311942959003
Editor,232,1.6541889483065952
Host,224,1.5971479500891266
Management,217,1.5472370766488412
Teacher,210,1.4973262032085561
Model,197,1.404634581105169
