interests,latto_count,latto_percent
Fashion,126,10.447761194029853
Beauty,101,8.374792703150915
Black Lives Matter,91,7.545605306799338
Video Games,85,7.048092868988394
Entertainment,83,6.882255389718078
Adult Content,72,5.9701492537313445
Podcast,51,4.228855721393036
Singer,48,3.9800995024875636
Fan Account,47,3.8971807628524058
Cryptocurrency,42,3.4825870646766175
NFT Enthusiast,34,2.819237147595357
Photographer,33,2.7363184079601997
Health,31,2.5704809286898844
Nature Lover,28,2.321724709784412
United States Army,28,2.321724709784412
Photography,23,1.907131011608624
BTS Enthusiast,23,1.907131011608624
Esthetician,20,1.6583747927031514
Make Up Artist,20,1.6583747927031514
Blogger,18,1.4925373134328361
