jobs,lilbaby4pf_count,lilbaby4pf_percent
Artist,6599,22.28413196906764
Entrepreneur,2625,8.864350116502889
Content Creator,2126,7.179279370546719
Producer,2098,7.084726302637357
Onlyfans,1585,5.352379022726505
CEO,1471,4.967412960524094
Designer,1340,4.52503967851957
Writer,1184,3.9982440144531126
Creator,1072,3.6200317428156557
Musician,845,2.8534765136933107
Model,726,2.451625975078513
Songwriter,686,2.316550163779421
Gamer,680,2.296288792084558
Music Producer,487,1.6445480025664407
Coach,484,1.6344173167190088
DJ,459,1.5499949346570765
Influencer,459,1.5499949346570765
Fortnie,440,1.4858339242900078
Streamer,364,1.2291898828217338
Chef,318,1.0738526998277786
