nationality,lilbaby4pf_count,lilbaby4pf_percent
Nigeria,1658,10.42177383870765
Jamaica,972,6.109749198566849
Mexico,917,5.764032937331069
South Africa,772,4.852599157709473
United Kingdom,730,4.588597649129424
Puerto Rico,669,4.205166886667923
Canada,645,4.054308881765039
Haiti,612,3.8468791250235714
Dominican Republic,541,3.400590860519203
Ghana,537,3.3754478597020547
Italy,460,2.891445093971965
Brazil,300,1.8857250612860643
Trinidad & Tobago,282,1.7725815576089001
France,264,1.6594380539317368
Germany,231,1.4520082971902695
Kenya,225,1.4142937959645483
China,213,1.3388647935131055
India,206,1.2948645420830973
Bahamas,203,1.276007291470237
Spain,203,1.276007291470237
