city,lildurk_count,lildurk_percent
Chicago,287,16.178128523111617
Atlanta,141,7.948139797068772
New York,139,7.8354002254791455
New York City,137,7.722660653889517
Miami,135,7.609921082299888
Florida,130,7.328072153325818
Georgia,113,6.369785794813981
Houston,107,6.031567080045097
Brooklyn,96,5.411499436302143
Texas,65,3.664036076662909
DMV,63,3.5512965050732817
Washington DC,59,3.3258173618940257
Bronx,39,2.1984216459977453
Queens,39,2.1984216459977453
Baltimore,39,2.1984216459977453
Tampa,35,1.9729425028184893
Cleveland,34,1.9165727170236755
Tennessee,27,1.5219842164599775
Connecticut,26,1.4656144306651637
New Orleans,23,1.2965050732807217
