jobs,lildurk_count,lildurk_percent
Artist,2576,21.185952792170408
Content Creator,1024,8.421745209309975
Entrepreneur,951,7.821366888724402
Producer,804,6.612385886997287
Onlyfans,677,5.567892096389506
CEO,566,4.654988074677194
Writer,560,4.605641911341393
Designer,514,4.227321325766921
Creator,393,3.232173698494942
Musician,367,3.0183403240398055
Gamer,317,2.607122296241467
Model,305,2.5084299695698657
Songwriter,304,2.500205609013899
Coach,219,1.8011349617567234
DJ,203,1.6695451928612552
Influencer,192,1.5790772267456203
Music Producer,187,1.5379554239657867
Fortnie,155,1.27477588617485
Streamer,155,1.27477588617485
Editor,154,1.266551525618883
