city,liltunechi_count,liltunechi_percent
Chicago,218,11.111111111111109
Florida,191,9.734964322120286
New York,150,7.645259938837919
Georgia,148,7.543323139653414
Houston,131,6.676860346585116
New York City,128,6.523955147808358
Miami,125,6.3710499490316
Texas,117,5.963302752293577
Washington DC,104,5.300713557594291
Atlanta,99,5.045871559633026
Brooklyn,96,4.892966360856269
New Orleans,71,3.618756371049948
Cleveland,68,3.4658511722731906
Queens,56,2.854230377166157
Baltimore,51,2.5993883792048926
Tampa,43,2.1916411824668702
Bronx,36,1.834862385321101
DMV,34,1.7329255861365953
Tennessee,31,1.5800203873598369
Nashville,24,1.2232415902140672
