interests,liltunechi_count,liltunechi_percent
NFT Enthusiast,1016,12.202738409800626
Fashion,717,8.611578188806151
Entertainment,639,7.67475378332933
Video Games,609,7.314436704299784
Cryptocurrency,569,6.8340139322603894
Beauty,401,4.816238289694931
Singer,331,3.9754984386259915
Nature Lover,278,3.338938265673794
Podcast,242,2.906557770838338
Adult Content,234,2.810473216430459
Health,227,2.726399231323565
Photographer,225,2.7023780927215952
Analyst,206,2.474177276002883
Investor,206,2.474177276002883
United States Army,194,2.3300504443910643
Black Lives Matter,193,2.3180398750900792
Technology,180,2.1619024741772765
Blogger,167,2.0057650732644725
Veteran,137,1.645447994234927
Photography,134,1.6094162863319723
