jobs,liltunechi_count,liltunechi_percent
Artist,3822,20.293086970372727
Entrepreneur,1607,8.532441329510458
Producer,1223,6.493575448656682
Content Creator,1078,5.723691196771794
Writer,1049,5.569714346394817
Designer,929,4.932568758628012
Onlyfans,864,4.587448231920992
CEO,794,4.215779972390357
Musician,724,3.8441117128597213
Songwriter,536,2.8459169586917272
Creator,535,2.840607412127004
Model,485,2.575130083890835
Gamer,464,2.4636296060316436
DJ,387,2.054794520547945
Coach,370,1.9645322289476475
Teacher,327,1.7362217266645423
Music Producer,322,1.7096739938409256
Chef,287,1.5238398640756077
Influencer,283,1.502601677816714
Comedian,267,1.4176489327811401
