nationality,liltunechi_count,liltunechi_percent
Nigeria,1019,10.58921334303232
South Africa,573,5.954484048633483
Mexico,537,5.580380338771692
United Kingdom,514,5.341369635248883
Canada,404,4.198274966226748
Jamaica,400,4.156707887353216
Ghana,342,3.5539852436870003
Puerto Rico,304,3.159097994388445
Italy,303,3.1487062246700614
Brazil,242,2.514808271848696
Dominican Republic,207,2.1510963317052894
Haiti,203,2.109529252831757
India,194,2.01600332536631
China,180,1.8705185493089476
Kenya,179,1.8601267795905645
France,167,1.7354255429699679
Germany,151,1.569157227475839
Ukraine,145,1.5068066091655408
Ireland,142,1.4756313000103918
Philippines,132,1.3717136028265613
