interests,louisvuitton_count,louisvuitton_percent
Fashion,4110,22.6721094439541
BTS Enthusiast,4047,22.324580759046775
United States Army,1595,8.798543689320388
Beauty,1175,6.481685789938216
NFT Enthusiast,1120,6.1782877316857885
Cryptocurrency,668,3.684907325684024
Photographer,420,2.3168578993821702
Nature Lover,386,2.129302736098852
Entertainment,364,2.007943512797881
Adult Content,301,1.6604148278905557
Photography,287,1.5831862312444833
Health,276,1.5225066195939976
Investor,258,1.423212709620476
Fan Account,249,1.3735657546337157
Blogger,247,1.3625330979699908
Technology,231,1.274271844660194
Video Games,228,1.257722859664607
Analyst,217,1.1970432480141215
Singer,182,1.0039717563989405
Bitcoin Enthusiast,168,0.9267431597528683
