interests,nickiminaj_count,nickiminaj_percent
Fashion,1381,12.020193228305333
Beauty,934,8.129515188441117
Adult Content,873,7.5985725476542765
Entertainment,790,6.876142397075462
Video Games,567,4.935155366002262
BTS Enthusiast,566,4.926451388284446
Nature Lover,490,4.26494908173035
NFT Enthusiast,477,4.151797371398729
Singer,432,3.760118374096962
Cryptocurrency,379,3.298807555052659
United States Army,369,3.2117677778744884
Black Lives Matter,366,3.1856558447210372
Fan Account,283,2.463225694142223
Photographer,272,2.367481939246235
Health,260,2.263034206632431
Technology,254,2.2108103403255286
Analyst,250,2.1759944294542604
Podcast,228,1.9845069196622853
Blogger,221,1.923579075637566
Photography,191,1.6624597441030546
