jobs,offwht_count,offwht_percent
Designer,1378,13.775867239828054
Artist,1134,11.336599020293914
Entrepreneur,1097,10.9667099870039
Producer,740,7.397780665800262
Director,474,4.738578426472059
Content Creator,413,4.128761371588523
DJ,410,4.098770368889333
CEO,382,3.818854343696891
Creator,314,3.139058282515246
Writer,298,2.9791062681195646
Onlyfans,295,2.949115265420374
Coach,221,2.2093371988403483
Gamer,201,2.0093971808457463
Creative Director,200,1.9994001799460166
Model,194,1.9394181745476358
Editor,175,1.7494751574527643
Management,162,1.6195141457562734
Music Producer,143,1.4295711286614017
Musician,141,1.4095771268619417
Developer,135,1.349595121463561
