nationality,offwht_count,offwht_percent
Mexico,487,7.090856144437977
United Kingdom,473,6.88701223063483
France,369,5.37274315666861
Italy,355,5.168899242865464
South Africa,336,4.892253931275483
Japan,301,4.382644146767619
Canada,263,3.8293535235876544
Philippines,228,3.319743739079792
Puerto Rico,214,3.115899825276646
China,197,2.8683750728013986
Nigeria,179,2.6062900407687835
Brazil,155,2.256843331391963
Dominican Republic,155,2.256843331391963
Spain,152,2.213162492719861
Germany,151,2.1986022131624936
Ghana,137,1.9947582993593485
Colombia,135,1.9656377402446135
Jamaica,127,1.8491555037856735
Australia,112,1.6307513104251607
Portugal,98,1.4269073966220156
