jobs,prada_count,prada_percent
Designer,3709,15.740780036497897
Artist,3130,13.28353774986207
Entrepreneur,2397,10.172728430165934
Model,1475,6.259814115350336
Content Creator,1119,4.748970844120017
Writer,1088,4.617408649153332
CEO,904,3.83652336289946
Onlyfans,763,3.238127572889699
Director,677,2.8731485804014767
Teacher,592,2.5124135296863725
Producer,563,2.389339218265925
Creator,538,2.2832406739379527
Management,458,1.943725332088443
Coach,438,1.8588464966260658
Stylist,385,1.6339175826507655
Influencer,366,1.553282688961507
Author,355,1.5065993294571995
Journalist,330,1.4005007851292277
Chef,310,1.3156219496668502
Editor,310,1.3156219496668502
