interests,rickross_count,rickross_percent
Entertainment,1074,10.878152537222727
Fashion,1035,10.483135824977207
Cryptocurrency,612,6.198723792160436
NFT Enthusiast,554,5.611263040615819
Beauty,485,4.912387318950673
Video Games,420,4.2540261318748085
Podcast,410,4.152739795401599
Black Lives Matter,395,4.000810290691785
Singer,391,3.9602957561025014
Photographer,363,3.676694013977514
Investor,355,3.595664944798945
Analyst,336,3.4032209054998472
Health,302,3.0588473614909337
Technology,270,2.7347310847766626
Blogger,262,2.6537020155980953
Nature Lover,250,2.5321584118302436
Photography,183,1.8535399574597384
Bitcoin Enthusiast,180,1.8231540565177755
United States Army,177,1.7927681555758122
Finance,173,1.7522536209865287
